[26-Feb-2026 15:25:19 Europe/Berlin] PHP Parse error:  syntax error, unexpected '?' in D:\WFS\htdocs\WFS-pr\backend\api\user\profile.php on line 19
[26-Feb-2026 15:57:05 Europe/Berlin] PHP Warning:  PDOStatement::execute(): MySQL server has gone away in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 15:57:05 Europe/Berlin] PHP Warning:  PDOStatement::execute(): Error reading result set's header in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 15:58:50 Europe/Berlin] PHP Warning:  PDOStatement::execute(): MySQL server has gone away in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 15:58:50 Europe/Berlin] PHP Warning:  PDOStatement::execute(): Error reading result set's header in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 15:58:55 Europe/Berlin] PHP Warning:  PDOStatement::execute(): MySQL server has gone away in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 15:58:55 Europe/Berlin] PHP Warning:  PDOStatement::execute(): Error reading result set's header in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 15:59:08 Europe/Berlin] PHP Warning:  PDOStatement::execute(): MySQL server has gone away in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 15:59:08 Europe/Berlin] PHP Warning:  PDOStatement::execute(): Error reading result set's header in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 15:59:25 Europe/Berlin] PHP Warning:  PDOStatement::execute(): MySQL server has gone away in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 15:59:25 Europe/Berlin] PHP Warning:  PDOStatement::execute(): Error reading result set's header in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 15:59:48 Europe/Berlin] PHP Warning:  PDOStatement::execute(): MySQL server has gone away in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 15:59:48 Europe/Berlin] PHP Warning:  PDOStatement::execute(): Error reading result set's header in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 16:02:19 Europe/Berlin] PHP Warning:  PDOStatement::execute(): MySQL server has gone away in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 16:02:19 Europe/Berlin] PHP Warning:  PDOStatement::execute(): Error reading result set's header in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 16:03:13 Europe/Berlin] PHP Warning:  PDOStatement::execute(): MySQL server has gone away in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
[26-Feb-2026 16:03:13 Europe/Berlin] PHP Warning:  PDOStatement::execute(): Error reading result set's header in D:\WFS\htdocs\WFS-pr\backend\api\shipment\create.php on line 157
